sampleID,,,treatment,,,Novel introns,,,Novel exons,,,Novel transcripts,,,Matching introns,,,Matching exons,,,Matching transcripts,,,Intron level sensitivity,,,Intron level precision,,,Exon level sensitivity,,,Exon level precision,,,Transcript level sensitivity,,,Transcript level precision
control,modified,relative change (%),control,modified,relative change (%),control,modified,relative change (%),control,modified,relative change (%),control,modified,relative change (%),control,modified,relative change (%),control,modified,relative change (%),control,modified,relative change (%),control,modified,relative change (%),control,modified,relative change (%),control,modified,relative change (%),control,modified,relative change (%),control,modified,relative change (%),control,modified,relative change (%)
SRR10689490,,,hg38_hisat_EASTR_filtered,hg38_hisat_cansplicep12,relative_change,2813,2635,-6.33,6427,6059,-5.73,22511,22158,-1.57,87402,86885,-0.59,106282,105968,-0.3,8100,8106,0.07,26.0,25.9,-0.38,92.1,92.7,0.65,23.1,23.1,0.0,71.3,71.5,0.28,5.485092061514291,5.489155092670969,0.07,26.46107608376074,26.784298176050758,1.22
SRR10689469,,,hg38_hisat_EASTR_filtered,hg38_hisat_cansplicep12,relative_change,1988,1852,-6.84,3685,3411,-7.44,18102,17988,-0.63,102465,102016,-0.44,121367,121063,-0.25,5880,5854,-0.44,31.4,31.4,0.0,96.2,96.6,0.42,26.7,26.6,-0.37,75.1,75.1,0.0,3.981770533543708,3.9641640651981063,-0.44,24.518388791593694,24.553309286133715,0.14
SRR10689485,,,hg38_hisat_EASTR_filtered,hg38_hisat_cansplicep12,relative_change,4707,4419,-6.12,8461,7918,-6.42,19312,18769,-2.81,151670,150706,-0.64,167096,166510,-0.35,15235,15229,-0.04,45.3,45.2,-0.22,92.7,93.3,0.65,41.3,41.2,-0.24,81.3,81.6,0.37,10.316713278662991,10.312650247506314,-0.04,44.09934292413234,44.79381140067063,1.57
SRR10689474,,,hg38_hisat_EASTR_filtered,hg38_hisat_cansplicep12,relative_change,3805,3559,-6.47,7447,6972,-6.38,19119,18630,-2.56,137102,136309,-0.58,154289,153780,-0.33,13891,13886,-0.04,41.2,41.1,-0.24,93.4,94.0,0.64,37.4,37.3,-0.27,80.0,80.3,0.37,9.406594299567288,9.403208440270056,-0.04,42.08118751893365,42.70512978226104,1.48
SRR10689475,,,hg38_hisat_EASTR_filtered,hg38_hisat_cansplicep12,relative_change,4834,4541,-6.06,9622,9061,-5.83,21849,21459,-1.78,144283,143189,-0.76,163033,162443,-0.36,12320,12254,-0.54,43.4,43.3,-0.23,93.0,93.7,0.75,38.4,38.2,-0.52,77.4,77.7,0.39,8.342757308377292,8.298063965653844,-0.54,36.05607421932161,36.34799632189363,0.81
SRR10689477,,,hg38_hisat_EASTR_filtered,hg38_hisat_cansplicep12,relative_change,2772,2581,-6.89,5110,4752,-7.01,16264,16017,-1.52,120856,120233,-0.52,137011,136623,-0.28,9402,9394,-0.09,36.8,36.7,-0.27,95.1,95.6,0.53,32.6,32.4,-0.61,80.0,80.2,0.25,6.366769822513255,6.361352447637686,-0.09,36.63212031481337,36.968242099878005,0.92
SRR10689476,,,hg38_hisat_EASTR_filtered,hg38_hisat_cansplicep12,relative_change,4944,4625,-6.45,8985,8439,-6.08,18973,18408,-2.98,157070,155883,-0.76,171842,171187,-0.38,16553,16516,-0.22,46.9,46.8,-0.21,92.6,93.2,0.65,42.8,42.7,-0.23,81.9,82.2,0.37,11.209225789413097,11.184170430613586,-0.22,46.59404379890784,47.29126102393769,1.5
SRR10689472,,,hg38_hisat_EASTR_filtered,hg38_hisat_cansplicep12,relative_change,4993,4662,-6.63,9498,8910,-6.19,22596,22114,-2.13,144897,143991,-0.63,163819,163197,-0.38,13715,13688,-0.2,43.2,43.2,0.0,92.3,92.9,0.65,39.2,39.0,-0.51,78.3,78.6,0.38,9.287412052304754,9.269128412099708,-0.2,37.77092341163835,38.23250097759902,1.22
SRR10689473,,,hg38_hisat_EASTR_filtered,hg38_hisat_cansplicep12,relative_change,7294,6723,-7.83,14336,13278,-7.38,24610,23856,-3.06,163359,161779,-0.97,181571,180741,-0.46,16114,16074,-0.25,48.5,48.3,-0.41,90.9,91.8,0.99,43.4,43.3,-0.23,76.9,77.3,0.52,10.911947343116209,10.884860468738362,-0.25,39.56880463608683,40.255447032306535,1.74
SRR10689488,,,hg38_hisat_EASTR_filtered,hg38_hisat_cansplicep12,relative_change,3556,3354,-5.68,7392,6931,-6.24,24980,24777,-0.81,109436,108880,-0.51,133649,133255,-0.29,4937,4898,-0.79,33.4,33.3,-0.3,94.4,94.9,0.53,27.4,27.3,-0.36,68.3,68.5,0.29,3.3431974700859333,3.316787767567531,-0.79,16.502323093893104,16.50547598989048,0.02
SRR10689471,,,hg38_hisat_EASTR_filtered,hg38_hisat_cansplicep12,relative_change,2294,2174,-5.23,4311,4062,-5.78,21146,21022,-0.59,96285,95888,-0.41,117496,117201,-0.25,3886,3868,-0.46,29.5,29.5,0.0,95.8,96.1,0.31,23.9,23.8,-0.42,69.5,69.4,-0.14,2.6314898458079674,2.619300752337936,-0.46,15.524129114733142,15.540377661711531,0.1
SRR10689470,,,hg38_hisat_EASTR_filtered,hg38_hisat_cansplicep12,relative_change,4080,3805,-6.74,8032,7484,-6.82,20916,20462,-2.17,134677,133979,-0.52,152873,152474,-0.26,13396,13388,-0.06,40.3,40.3,0.0,93.0,93.6,0.65,36.5,36.4,-0.27,78.6,78.9,0.38,9.071394229141411,9.065976854265845,-0.06,39.04173467008626,39.55096011816839,1.3
SRR10689489,,,hg38_hisat_EASTR_filtered,hg38_hisat_cansplicep12,relative_change,6178,5547,-10.21,12027,10779,-10.38,22292,21413,-3.94,157120,155587,-0.98,175035,174186,-0.49,14885,14875,-0.07,46.9,46.7,-0.43,91.8,92.7,0.98,42.1,42.0,-0.24,78.0,78.5,0.64,10.07970312785682,10.072931409262356,-0.07,40.03819565860613,40.99151234567901,2.38
