sampleID,,,treatment,,,Novel introns,,,Novel exons,,,Novel transcripts,,,Matching introns,,,Matching exons,,,Matching transcripts,,,Intron level sensitivity,,,Intron level precision,,,Exon level sensitivity,,,Exon level precision,,,Transcript level sensitivity,,,Transcript level precision
control,modified,relative change (%),control,modified,relative change (%),control,modified,relative change (%),control,modified,relative change (%),control,modified,relative change (%),control,modified,relative change (%),control,modified,relative change (%),control,modified,relative change (%),control,modified,relative change (%),control,modified,relative change (%),control,modified,relative change (%),control,modified,relative change (%),control,modified,relative change (%),control,modified,relative change (%)
SRR10689474,,,hg38_hisat_cansplicep12,hg38_hisat_cansplicep12_EASTR_filtered,relative_change,3559,3471,-2.47,6972,6844,-1.84,18630,18536,-0.5,136309,136285,-0.02,153780,153696,-0.05,13886,13892,0.04,41.1,41.1,0.0,94.0,94.1,0.11,37.3,37.3,0.0,80.3,80.4,0.12,9.403208440270056,9.407271471426734,0.04,42.70512978226104,42.839521401258175,0.31
SRR10689480,,,hg38_hisat_cansplicep12,hg38_hisat_cansplicep12_EASTR_filtered,relative_change,2110,2042,-3.22,3930,3795,-3.44,17644,17577,-0.38,92864,92871,0.01,111166,111174,0.01,4935,4935,0.0,28.5,28.5,0.0,96.0,96.0,0.0,24.1,24.1,0.0,73.6,73.6,0.0,3.3418431263670407,3.3418431263670407,0.0,21.856592408875503,21.921641791044777,0.3
SRR10689478,,,hg38_hisat_cansplicep12,hg38_hisat_cansplicep12_EASTR_filtered,relative_change,4165,4078,-2.09,8251,8104,-1.78,22840,22743,-0.42,132044,132000,-0.03,151844,151767,-0.05,12244,12251,0.06,39.6,39.6,0.0,92.9,93.0,0.11,35.6,35.6,0.0,77.1,77.2,0.13,8.291292247059381,8.296032450075504,0.06,34.89909930452628,35.00885866148482,0.31
SRR10689485,,,hg38_hisat_cansplicep12,hg38_hisat_cansplicep12_EASTR_filtered,relative_change,4419,4325,-2.13,7918,7767,-1.91,18769,18668,-0.54,150706,150651,-0.04,166510,166440,-0.04,15229,15238,0.06,45.2,45.2,0.0,93.3,93.4,0.11,41.2,41.2,0.0,81.6,81.7,0.12,10.312650247506314,10.318744794241333,0.06,44.79381140067063,44.94189818911107,0.33
SRR10689471,,,hg38_hisat_cansplicep12,hg38_hisat_cansplicep12_EASTR_filtered,relative_change,2174,2102,-3.31,4062,3931,-3.23,21022,20951,-0.34,95888,95865,-0.02,117201,117167,-0.03,3868,3870,0.05,29.5,29.5,0.0,96.1,96.2,0.1,23.8,23.8,0.0,69.4,69.5,0.14,2.619300752337936,2.6206550960568284,0.05,15.540377661711531,15.591636114580396,0.33
SRR10689477,,,hg38_hisat_cansplicep12,hg38_hisat_cansplicep12_EASTR_filtered,relative_change,2581,2544,-1.43,4752,4705,-0.99,16017,15987,-0.19,120233,120233,0.0,136623,136598,-0.02,9394,9394,0.0,36.7,36.7,0.0,95.6,95.7,0.1,32.4,32.4,0.0,80.2,80.2,0.0,6.361352447637686,6.361352447637686,0.0,36.968242099878005,37.01193806390607,0.12
SRR10689483,,,hg38_hisat_cansplicep12,hg38_hisat_cansplicep12_EASTR_filtered,relative_change,6752,6565,-2.77,12559,12269,-2.31,22949,22783,-0.72,162530,162486,-0.03,176116,175980,-0.08,18175,18183,0.04,47.9,47.9,0.0,90.4,90.6,0.22,43.4,43.4,0.0,79.7,79.8,0.13,12.307598545434846,12.313015920310416,0.04,44.19560354051163,44.38558804862569,0.43
SRR10689489,,,hg38_hisat_cansplicep12,hg38_hisat_cansplicep12_EASTR_filtered,relative_change,5547,5424,-2.22,10779,10577,-1.87,21413,21299,-0.53,155587,155559,-0.02,174186,174130,-0.03,14875,14879,0.03,46.7,46.7,0.0,92.7,92.8,0.11,42.0,41.9,-0.24,78.5,78.6,0.13,10.072931409262356,10.07564009670014,0.03,40.99151234567901,41.127204378351486,0.33
SRR10689484,,,hg38_hisat_cansplicep12,hg38_hisat_cansplicep12_EASTR_filtered,relative_change,4769,4591,-3.73,9868,9564,-3.08,24105,23943,-0.67,143682,143664,-0.01,165523,165463,-0.04,12198,12203,0.04,43.3,43.3,0.0,93.3,93.4,0.11,38.6,38.6,0.0,76.4,76.5,0.13,8.260142341524855,8.263528200822087,0.04,33.600528881910584,33.7603054279865,0.48
SRR10689470,,,hg38_hisat_cansplicep12,hg38_hisat_cansplicep12_EASTR_filtered,relative_change,3805,3747,-1.52,7484,7394,-1.2,20462,20407,-0.27,133979,133952,-0.02,152474,152427,-0.03,13388,13393,0.04,40.3,40.3,0.0,93.6,93.6,0.0,36.4,36.4,0.0,78.9,78.9,0.0,9.065976854265845,9.069362713563075,0.04,39.55096011816839,39.624260355029584,0.19
SRR10689476,,,hg38_hisat_cansplicep12,hg38_hisat_cansplicep12_EASTR_filtered,relative_change,4625,4518,-2.31,8439,8292,-1.74,18408,18313,-0.52,155883,155842,-0.03,171187,171078,-0.06,16516,16522,0.04,46.8,46.8,0.0,93.2,93.3,0.11,42.7,42.7,0.0,82.2,82.3,0.12,11.184170430613586,11.188233461770263,0.04,47.29126102393769,47.429309602411365,0.29
SRR10689482,,,hg38_hisat_cansplicep12,hg38_hisat_cansplicep12_EASTR_filtered,relative_change,3736,3662,-1.98,7071,6959,-1.58,17363,17299,-0.37,131540,131532,-0.01,147528,147490,-0.03,11719,11724,0.04,39.8,39.8,0.0,94.0,94.1,0.11,35.7,35.7,0.0,80.2,80.3,0.12,7.9357770208501215,7.939162880147353,0.04,40.29640327350251,40.39554835819867,0.25
SRR10689488,,,hg38_hisat_cansplicep12,hg38_hisat_cansplicep12_EASTR_filtered,relative_change,3354,3149,-6.11,6931,6548,-5.53,24777,24564,-0.86,108880,108861,-0.02,133255,133200,-0.04,4898,4901,0.06,33.3,33.3,0.0,94.9,95.1,0.21,27.3,27.3,0.0,68.5,68.7,0.29,3.316787767567531,3.3188192831458694,0.06,16.50547598989048,16.633293738333617,0.77
